,Time,L?u l??ng qu?c t?,L?u l??ng trong n??c
1832508,4/6/22 22:00,41.78773864,216.4756639
1832509,4/6/22 22:15,52.6263444,276.1879445
1832510,4/6/22 22:30,64.97303745,269.8837856
1832511,4/6/22 22:45,57.33063522,233.7461313
1832512,4/6/22 23:00,53.63463119,220.9955928
1832513,4/6/22 23:15,47.08292949,205.3238071
1832514,4/6/22 23:30,37.58232283,178.0084712
1832515,4/6/22 23:45,36.57076169,156.122244
1832516,4/7/22 0:00,44.6802755,126.5462739
1832517,4/7/22 0:15,27.25271929,110.184832
1832518,4/7/22 0:30,27.31224668,100.7712626
1832519,4/7/22 0:45,37.37438333,92.98721068
1832520,4/7/22 1:00,32.78756559,88.13910568
1832521,4/7/22 1:15,25.02037633,83.07815991
1832522,4/7/22 1:30,21.44396122,74.30727681
1832523,4/7/22 1:45,23.34707234,73.53627735
1832524,4/7/22 2:00,22.41051402,74.46257452
1832525,4/7/22 2:15,24.03233594,79.19660159
1832526,4/7/22 2:30,19.1398663,74.18513913
1832527,4/7/22 2:45,25.63993762,71.95018334
1832528,4/7/22 3:00,25.66556038,64.8347381
1832529,4/7/22 3:15,28.6807191,61.99124114
1832530,4/7/22 3:30,31.7416999,58.80595855
1832531,4/7/22 3:45,25.75522247,56.56221112
1832532,4/7/22 4:00,16.88307917,49.98352097
1832533,4/7/22 4:15,16.60042434,45.040462
1832534,4/7/22 4:30,14.14436522,42.34929267
1832535,4/7/22 4:45,13.1143773,47.91648847
1832536,4/7/22 5:00,13.58145858,46.50182055
1832537,4/7/22 5:15,15.14494569,49.02947407
1832538,4/7/22 5:30,16.20264032,61.72402127
1832539,4/7/22 5:45,22.74774734,75.11968889
1832540,4/7/22 6:00,26.06810302,94.50970725
1832541,4/7/22 6:15,20.46239201,112.1066314
1832542,4/7/22 6:30,21.51559602,117.8058743
1832543,4/7/22 6:45,20.77419329,128.1147135
1832544,4/7/22 7:00,31.22732372,118.0208259
1832545,4/7/22 7:15,25.1968397,121.7198839
1832546,4/7/22 7:30,50.66540857,132.9730336
1832547,4/7/22 7:45,49.81546723,166.1218781
1832548,4/7/22 8:00,35.2071059,173.7945907
1832549,4/7/22 8:15,32.67550936,177.3477233
1832550,4/7/22 8:30,31.74710148,158.503884
1832551,4/7/22 8:45,35.76998807,174.776889
1832552,4/7/22 9:00,34.46386861,187.3623778
